577735151778750, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735150258500, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735147985750, pool-1-thread-1, [CONTAINS] FAILED, 8 does not exist in the list.
577735150677500, pool-1-thread-6, [REMOVE] FAILED, 8 does not exist in the list.
577735148002709, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735148075584, pool-1-thread-3, [CONTAINS] FAILED, 8 does not exist in the list.
577735151581667, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735359234167, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735150436334, pool-1-thread-5, [REMOVE] FAILED, 8 does not exist in the list.
577735360065875, pool-1-thread-8, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735360138125, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735360865542, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735362149250, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735362189250, pool-1-thread-5, [CONTAINS] FAILED, 8 does not exist in the list.
577735362149167, pool-1-thread-7, [CONTAINS] FAILED, 8 does not exist in the list.
577735363060792, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735363220042, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735363266625, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735363359000, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735363453084, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735363609500, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735361793000, pool-1-thread-6, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735365071209, pool-1-thread-6, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735365068084, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735365108875, pool-1-thread-6, [CONTAINS] FAILED, 8 does not exist in the list.
577735365173292, pool-1-thread-6, [CONTAINS] FAILED, 8 does not exist in the list.
577735364560250, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
577735365284709, pool-1-thread-4, [ADD] SUCCEEDED, 8 added to the list.
577735365326000, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735363556542, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735368709167, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735368746917, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735368780792, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735368806125, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735368830542, pool-1-thread-2, [REMOVE] FAILED, 8 does not exist in the list.
577735368870125, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735368964042, pool-1-thread-7, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735368996667, pool-1-thread-7, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735369026959, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735369039500, pool-1-thread-1, [CONTAINS] FAILED, 8 does not exist in the list.
577735369054084, pool-1-thread-7, [CONTAINS] FAILED, 8 does not exist in the list.
577735369120667, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735369160542, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735369286542, pool-1-thread-7, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735369197625, pool-1-thread-1, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735369325125, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735369350875, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
577735368991834, pool-1-thread-4, [ADD] FAILED, 8 exists in the list.
577735367754500, pool-1-thread-5, [ADD] FAILED, 8 exists in the list.
577735367625792, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735369208834, pool-1-thread-2, [ADD] FAILED, 8 exists in the list.
577735369405667, pool-1-thread-7, [ADD] FAILED, 8 exists in the list.
577735367656334, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735367524500, pool-1-thread-8, [ADD] FAILED, 8 exists in the list.
577735373370959, pool-1-thread-3, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735373626792, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735373626917, pool-1-thread-7, [CONTAINS] FAILED, 8 does not exist in the list.
577735373764709, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735369415834, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735374338709, pool-1-thread-8, [ADD] FAILED, 8 exists in the list.
577735374771000, pool-1-thread-7, [ADD] FAILED, 8 exists in the list.
577735374914250, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735375118125, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735375151084, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
577735375420417, pool-1-thread-8, [REMOVE] FAILED, 8 does not exist in the list.
577735375314875, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735375275459, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735375162125, pool-1-thread-4, [ADD] FAILED, 8 exists in the list.
577735375513584, pool-1-thread-6, [REMOVE] FAILED, 8 does not exist in the list.
577735376319292, pool-1-thread-6, [ADD] SUCCEEDED, 8 added to the list.
577735375946709, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735376924417, pool-1-thread-4, [ADD] FAILED, 8 exists in the list.
577735375919334, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735376989875, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735376955167, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735376882750, pool-1-thread-6, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735375896709, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735375943959, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735377126292, pool-1-thread-3, [REMOVE] FAILED, 8 does not exist in the list.
577735375870625, pool-1-thread-8, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735375667334, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735375720959, pool-1-thread-1, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377208917, pool-1-thread-5, [CONTAINS] FAILED, 8 does not exist in the list.
577735377183542, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735377154459, pool-1-thread-3, [CONTAINS] FAILED, 8 does not exist in the list.
577735377099209, pool-1-thread-7, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735377073500, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735377053792, pool-1-thread-4, [ADD] SUCCEEDED, 8 added to the list.
577735377023667, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735377231875, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
577735377384417, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735377258042, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377307792, pool-1-thread-3, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377405667, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735377834417, pool-1-thread-4, [ADD] SUCCEEDED, 8 added to the list.
577735377424834, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378028667, pool-1-thread-1, [CONTAINS] FAILED, 8 does not exist in the list.
577735377869875, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377280250, pool-1-thread-8, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377361875, pool-1-thread-6, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378384917, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735377986834, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735378432792, pool-1-thread-4, [ADD] FAILED, 8 exists in the list.
577735378133792, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735377919750, pool-1-thread-2, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377333292, pool-1-thread-7, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735377901625, pool-1-thread-3, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735378087542, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
