pool-1-thread-2, ADD, 11687782308871, LIN_ADD, 11687875909924, RET, true, 11687884594352
pool-1-thread-1, REMOVE, 11687781962631, LIN_REM, 11687875000825, RET, false, 11687884068203
pool-1-thread-1, CONTAINS, 11687884575758, LIN_CON, 11687884982090, RET, true, 11687885218297
pool-1-thread-2, CONTAINS, 11687885283040, LIN_CON, 11687885315526, RET, true, 11687885328183
pool-1-thread-1, CONTAINS, 11687885486430, LIN_CON, 11687885498241, RET, true, 11687885502707
pool-1-thread-1, ADD, 11687885522682, LIN_ADD, 11687885537097, RET, false, 11687885801889
pool-1-thread-2, REMOVE, 11687885978047, LIN_REM, 11687886125154, RET, true, 11687886864208
pool-1-thread-1, ADD, 11687886100904, LIN_ADD, 11687886122242, RET, false, 11687886127097
pool-1-thread-1, REMOVE, 11687886140177, LIN_REM, 11687886148834, RET, false, 11687886153226
pool-1-thread-1, ADD, 11687886161292, LIN_ADD, 11687886191392, RET, true, 11687886196946
pool-1-thread-1, ADD, 11687886208874, LIN_ADD, 11687886215323, RET, false, 11687886218769
pool-1-thread-1, ADD, 11687886225835, LIN_ADD, 11687886231369, RET, false, 11687886234858
pool-1-thread-1, ADD, 11687886241599, LIN_ADD, 11687886247219, RET, false, 11687886250571
pool-1-thread-1, ADD, 11687886257320, LIN_ADD, 11687886262789, RET, false, 11687886266182
pool-1-thread-1, ADD, 11687886272814, LIN_ADD, 11687886278336, RET, false, 11687886281607
pool-1-thread-1, ADD, 11687886291069, LIN_ADD, 11687886296705, RET, false, 11687886300046
pool-1-thread-1, REMOVE, 11687886307310, LIN_REM, 11687886318750, RET, true, 11687886861630
pool-1-thread-1, ADD, 11687887226616, LIN_ADD, 11687887253591, RET, true, 11687887261702
pool-1-thread-1, REMOVE, 11687887284093, LIN_REM, 11687887305343, RET, true, 11687887333411
pool-1-thread-1, ADD, 11687887354676, LIN_ADD, 11687887372396, RET, true, 11687887378949
pool-1-thread-1, CONTAINS, 11687887395006, LIN_CON, 11687887409136, RET, true, 11687887414102
pool-1-thread-1, ADD, 11687887425794, LIN_ADD, 11687887432879, RET, false, 11687887439213
pool-1-thread-1, REMOVE, 11687887452622, LIN_REM, 11687887463475, RET, true, 11687887468990
pool-1-thread-1, ADD, 11687887476543, LIN_ADD, 11687887483337, RET, true, 11687887486990
pool-1-thread-1, ADD, 11687887493910, LIN_ADD, 11687887501941, RET, false, 11687887505719
pool-1-thread-1, CONTAINS, 11687887513278, LIN_CON, 11687887520611, RET, true, 11687887524229
pool-1-thread-1, CONTAINS, 11687887531220, LIN_CON, 11687887538228, RET, true, 11687887544166
pool-1-thread-1, CONTAINS, 11687887551432, LIN_CON, 11687887558432, RET, true, 11687887561833
pool-1-thread-1, ADD, 11687887568616, LIN_ADD, 11687887579359, RET, false, 11687887582919
pool-1-thread-1, CONTAINS, 11687887590267, LIN_CON, 11687887597175, RET, true, 11687887600622
pool-1-thread-1, CONTAINS, 11687887609755, LIN_CON, 11687887620396, RET, true, 11687887626478
pool-1-thread-1, CONTAINS, 11687887634919, LIN_CON, 11687887641663, RET, true, 11687887645025
pool-1-thread-2, ADD, 11687887651203, LIN_ADD, 11687887676780, RET, false, 11687887689243
pool-1-thread-1, CONTAINS, 11687887653794, LIN_CON, 11687887660779, RET, true, 11687887664899
pool-1-thread-1, CONTAINS, 11687887672079, LIN_CON, 11687887680157, RET, true, 11687887684503
pool-1-thread-1, CONTAINS, 11687887692105, LIN_CON, 11687887699934, RET, true, 11687887704227
pool-1-thread-1, REMOVE, 11687887712414, LIN_REM, 11687887720167, RET, true, 11687887744053
pool-1-thread-2, REMOVE, 11687887713667, LIN_REM, 11687887749233, RET, false, 11687887766563
pool-1-thread-1, REMOVE, 11687887755485, LIN_REM, 11687887765204, RET, false, 11687887770102
pool-1-thread-1, ADD, 11687887778355, LIN_ADD, 11687887786980, RET, true, 11687887790715
pool-1-thread-2, CONTAINS, 11687887798503, LIN_CON, 11687887822096, RET, true, 11687887833120
